Date,TATASTEEL,ONGC,ITC,TATAMOTORS,HINDALCO,COALINDIA,RELIANCE,NTPC,POWERGRID,SUNPHARMA
2016-01-01,257.4,242.5,327.5,401.9,84.9,334.05,1015.35,144.5,141.0,815.55
2016-01-04,256.9,238.05,325.1,377.05,80.75,330.2,995.3,143.3,140.95,799.1
2016-01-05,274.3,241.85,324.85,374.45,82.6,325.8,1005.15,142.25,139.15,800.5
2016-01-06,268.75,237.55,315.1,365.9,80.55,327.9,1032.2,141.45,139.5,791.95
2016-01-07,249.9,226.6,309.6,343.55,76.65,326.4,1013.25,137.85,138.1,783.8
2016-01-08,253.6,230.15,313.65,353.35,76.9,321.1,1025.75,139.55,141.65,794.15
2016-01-11,251.65,225.5,316.05,360.2,77.9,315.95,1051.6,141.6,143.25,782.25
2016-01-12,245.75,221.35,315.15,355.0,75.6,316.0,1045.45,145.2,142.75,788.15
2016-01-13,246.6,223.2,315.75,364.6,76.7,317.3,1076.85,144.25,142.9,796.6
2016-01-14,238.75,223.25,317.25,354.3,74.7,318.65,1061.65,143.2,142.85,791.85
2016-01-15,229.7,219.45,313.9,341.3,71.8,318.55,1073.3,136.45,139.1,787.1
2016-01-18,235.9,214.4,315.4,340.2,71.2,310.85,1016.85,134.6,138.15,784.95
2016-01-19,238.0,218.0,314.05,354.15,71.85,308.85,1043.6,135.15,135.95,793.9
2016-01-20,232.0,213.3,308.95,342.25,67.6,298.15,1004.55,132.2,134.65,792.6
2016-01-21,235.6,207.3,306.4,328.55,68.3,288.2,984.2,133.0,132.2,773.15
2016-01-22,247.8,216.25,308.75,339.5,72.35,299.45,1004.15,138.15,133.1,789.2
2016-01-25,254.9,219.65,309.4,332.6,72.0,304.9,1003.95,137.95,133.0,807.25
2016-01-27,257.6,218.4,312.95,337.05,71.05,304.05,999.35,143.75,138.25,821.15
2016-01-28,254.2,219.9,318.55,334.2,69.7,306.6,1016.9,144.25,143.7,834.15
2016-01-29,249.7,226.25,320.2,336.9,70.5,319.95,1035.4,142.45,147.85,872.95
2016-02-01,249.3,225.05,324.75,338.5,71.1,328.55,1030.3,140.25,146.75,872.3
2016-02-02,231.45,216.55,324.25,329.55,68.55,318.95,1001.15,134.05,146.25,835.15
2016-02-03,224.0,213.05,321.95,320.3,66.65,317.25,981.4,128.65,143.25,834.9
2016-02-04,225.95,220.0,321.8,325.5,68.7,322.5,973.05,125.9,146.8,835.6
2016-02-05,233.85,219.95,323.95,337.1,71.25,326.25,970.9,124.8,145.25,857.55
2016-02-08,234.1,214.05,315.25,323.5,69.8,323.35,961.05,123.25,142.45,835.65
2016-02-09,235.5,218.15,312.4,310.65,70.0,309.25,957.5,125.85,141.95,854.05
2016-02-10,235.7,213.5,309.0,291.55,66.9,313.75,962.65,124.75,143.35,855.75
2016-02-11,224.5,203.15,298.55,276.35,63.7,305.1,924.55,120.95,136.7,830.4
2016-02-12,217.5,193.25,300.1,298.35,60.9,302.85,906.55,123.95,138.35,847.35
2016-02-15,246.7,200.35,303.7,317.25,67.0,324.25,946.75,124.8,138.7,850.2
2016-02-16,244.85,199.95,295.5,301.15,64.85,317.9,930.55,127.75,139.3,827.8
2016-02-17,251.25,200.35,299.85,310.15,65.8,312.8,952.6,128.0,139.6,855.8
2016-02-18,250.85,209.1,305.45,314.0,68.9,317.6,940.1,127.5,139.85,870.45
2016-02-19,253.25,211.15,304.55,318.2,69.05,312.25,944.35,129.8,141.0,864.2
2016-02-22,255.25,214.4,299.85,318.85,69.5,313.9,962.3,127.0,139.65,882.45
2016-02-23,253.55,214.6,293.8,318.55,68.5,301.1,949.65,123.8,137.1,871.1
2016-02-24,247.9,209.4,287.6,306.3,66.4,295.25,952.65,118.65,139.7,854.55
2016-02-25,248.15,216.25,286.2,298.2,67.15,299.4,944.1,118.5,131.75,875.35
2016-02-26,248.45,216.05,290.95,301.8,69.45,311.45,950.35,121.55,133.65,871.9
2016-02-29,249.1,194.1,295.65,299.7,68.75,311.0,966.65,119.5,130.05,853.9
2016-03-01,257.05,191.5,325.35,315.35,70.25,317.85,981.3,122.85,133.75,868.4
2016-03-02,267.55,194.95,319.55,317.1,74.95,311.0,1001.5,126.8,135.4,851.85
2016-03-03,287.05,197.2,318.15,336.7,79.25,314.1,1012.85,126.4,135.65,870.9
2016-03-04,288.55,200.7,315.2,343.5,79.4,325.15,1006.4,126.05,138.65,856.8
2016-03-08,291.8,201.85,320.25,346.05,83.15,324.05,1027.0,127.55,137.7,858.6
2016-03-09,295.4,205.25,319.9,347.7,81.1,322.5,1041.7,126.55,139.75,860.9
2016-03-10,296.7,205.7,316.1,348.5,83.8,321.7,1011.75,126.8,139.65,865.05
2016-03-11,294.05,205.1,321.3,354.25,83.5,318.9,1014.5,126.4,138.2,868.2
2016-03-14,296.7,208.25,325.05,366.45,84.9,296.7,1019.75,127.4,138.6,862.2
2016-03-15,300.45,207.4,316.5,360.4,83.9,295.65,1020.5,127.3,138.95,843.15
2016-03-16,299.5,206.5,322.05,359.55,81.5,295.65,1021.75,127.55,138.75,835.75
2016-03-17,295.9,212.25,323.65,360.9,81.0,294.25,1016.0,126.85,138.0,827.25
2016-03-18,302.2,214.6,324.75,366.05,85.2,297.75,1027.2,127.45,136.85,816.0
2016-03-21,303.55,216.65,331.45,374.7,86.0,296.6,1037.3,127.15,138.0,836.45
2016-03-22,309.8,216.1,323.15,377.2,87.0,294.4,1047.85,128.25,138.2,844.6
2016-03-23,317.2,214.6,324.25,377.0,91.3,298.0,1029.2,127.35,137.45,846.2
2016-03-28,299.15,213.95,322.45,363.3,83.25,293.5,1020.4,129.15,139.1,809.25
2016-03-29,303.85,212.25,320.0,372.45,84.4,295.15,1036.25,127.3,138.15,794.35
2016-03-30,324.3,217.9,327.35,388.6,88.0,296.85,1047.05,129.9,139.75,811.7
2016-03-31,319.7,214.1,328.25,386.6,87.95,291.95,1045.2,128.85,139.1,820.0
2016-04-01,317.75,208.8,336.05,379.65,86.65,287.0,1034.45,129.95,138.3,815.1
2016-04-04,320.35,207.3,330.7,388.4,89.1,285.0,1035.05,131.1,138.6,815.05
2016-04-05,312.3,205.5,326.45,370.5,84.9,275.25,1026.95,126.85,139.05,800.8
2016-04-06,328.55,206.1,325.9,376.7,88.95,275.6,1033.75,126.2,139.7,809.55
2016-04-07,323.7,207.75,319.45,375.2,87.3,281.25,1037.25,126.55,140.2,811.7
2016-04-08,322.1,206.15,321.2,371.45,87.7,279.6,1036.35,131.55,140.9,811.75
2016-04-11,331.15,207.6,327.25,386.65,92.2,280.45,1040.3,134.6,142.25,817.3
2016-04-12,324.5,211.35,322.4,395.8,92.0,274.4,1047.4,135.5,143.15,823.6
2016-04-13,332.85,213.35,331.25,408.75,96.3,277.45,1066.05,137.15,145.0,833.05
2016-04-18,335.55,207.55,335.4,407.35,97.05,275.8,1064.75,139.5,145.95,837.8
2016-04-20,357.45,209.85,335.5,404.1,101.8,278.65,1037.3,141.3,148.0,828.55
2016-04-21,354.55,212.95,329.95,411.5,101.8,287.75,1041.15,141.15,146.15,832.9
2016-04-22,353.65,216.1,325.8,417.0,101.1,287.8,1038.95,143.65,146.05,820.2
2016-04-25,347.45,212.3,320.95,412.2,98.4,287.95,1016.9,140.35,143.8,808.85
2016-04-26,358.6,214.3,327.4,419.05,103.15,288.3,1016.95,140.2,145.15,814.4
2016-04-27,356.75,221.8,333.55,418.55,101.75,290.9,1019.4,140.7,144.35,813.95
2016-04-28,347.6,216.85,322.9,411.35,96.9,285.05,996.7,137.15,141.85,801.95
2016-04-29,351.1,217.25,324.95,408.35,96.35,288.05,982.7,139.3,143.4,811.3
2016-05-02,346.95,217.75,321.15,407.7,98.65,288.65,986.95,138.55,142.85,811.8
2016-05-03,348.9,215.3,316.05,409.65,96.9,279.15,975.8,136.55,145.2,798.25
2016-05-04,328.75,210.65,312.65,381.8,91.15,279.95,978.1,138.8,142.75,804.2
2016-05-05,331.8,210.5,317.65,391.15,90.45,281.8,975.25,139.7,143.25,810.45
2016-05-06,329.3,208.45,317.7,398.7,91.9,281.9,968.95,140.0,142.45,804.4
2016-05-09,328.7,211.6,324.8,403.35,91.7,285.6,983.1,143.2,143.5,805.3
2016-05-10,328.05,207.9,323.5,388.95,89.85,284.9,982.55,140.65,141.85,802.15
2016-05-11,329.8,205.25,318.0,379.85,91.6,283.8,975.4,141.5,141.45,796.3
2016-05-12,330.6,206.3,318.2,387.05,93.4,283.85,992.8,141.45,143.9,803.55
2016-05-13,322.65,203.75,319.35,389.95,89.3,281.45,978.15,141.0,144.75,795.05
2016-05-16,326.4,202.6,329.4,392.7,89.8,282.85,975.95,140.1,144.45,797.85
2016-05-17,327.15,210.25,330.5,389.7,89.1,283.85,969.15,137.0,144.9,799.9
2016-05-18,329.05,214.25,332.7,384.85,89.15,283.95,970.55,136.1,143.05,795.3
2016-05-19,326.25,210.05,324.85,386.9,87.05,280.3,951.2,135.35,144.4,792.5
2016-05-20,322.65,213.1,330.35,384.45,86.95,279.0,934.2,136.9,144.8,791.35
2016-05-23,313.55,208.15,346.85,381.75,86.9,280.5,930.0,135.7,148.15,784.55
2016-05-24,317.7,206.65,348.05,389.1,86.3,279.55,940.45,138.5,146.7,772.3
2016-05-25,324.6,210.15,356.05,397.0,88.75,281.0,951.2,141.85,149.7,785.45
2016-05-26,325.2,216.05,362.45,399.25,90.3,280.85,946.85,141.2,150.6,779.35
2016-05-27,329.6,213.0,359.3,403.9,91.9,281.3,974.7,140.1,150.85,824.95
2016-05-30,322.35,213.45,356.5,421.25,102.95,292.55,968.7,143.6,151.75,812.1
2016-05-31,334.35,210.75,351.05,459.65,105.25,291.4,957.85,143.15,150.0,762.75
2016-06-01,332.15,210.65,361.4,449.2,103.1,297.2,953.6,144.6,148.9,754.55
2016-06-02,340.65,212.8,358.0,453.45,106.05,307.35,956.25,144.95,150.2,746.75
2016-06-03,338.55,211.85,353.9,453.95,105.55,308.95,959.65,147.6,150.4,737.35
2016-06-06,337.85,210.8,355.6,460.5,106.85,305.8,954.8,147.1,149.25,724.4
2016-06-07,342.6,212.95,362.75,463.05,109.5,307.8,955.05,148.45,149.9,738.8
2016-06-08,341.5,215.75,362.8,466.15,109.35,306.8,954.1,148.15,152.55,738.0
2016-06-09,342.05,220.65,354.1,467.15,110.9,313.0,971.15,151.05,152.8,742.7
2016-06-10,334.4,218.2,350.7,456.95,115.3,306.65,976.7,151.5,154.4,741.4
2016-06-13,323.1,213.25,349.9,444.25,114.7,308.5,981.1,148.75,151.8,746.45
2016-06-14,324.95,212.8,353.3,448.4,115.6,308.85,976.25,148.25,150.55,753.7
2016-06-15,330.25,213.7,359.55,452.1,115.75,309.75,984.6,154.15,154.4,751.6
2016-06-16,330.5,211.7,354.9,454.35,119.05,307.55,976.3,151.8,154.6,754.6
2016-06-17,325.45,210.75,359.85,464.4,118.8,313.2,974.9,152.3,157.05,743.2
2016-06-20,336.25,213.85,358.05,482.05,121.05,312.35,990.2,154.45,156.65,739.85
2016-06-21,334.05,217.55,358.5,484.9,123.5,313.0,987.1,151.8,156.0,736.3
2016-06-22,332.45,218.35,354.7,472.7,122.2,317.5,980.5,152.6,155.6,740.05
2016-06-23,333.95,218.5,360.25,487.95,123.9,317.55,980.45,149.1,156.65,752.6
2016-06-24,312.65,209.4,354.1,449.4,117.3,312.25,951.45,149.2,155.8,754.75
2016-06-27,310.5,210.15,358.95,448.95,119.8,308.1,955.65,149.2,154.0,773.75
2016-06-28,311.5,211.35,368.5,440.4,118.05,313.3,957.8,148.0,155.45,765.1
2016-06-29,313.6,214.75,366.3,447.25,119.95,311.0,966.9,152.1,159.25,770.3
2016-06-30,321.95,216.3,368.4,459.25,122.85,313.0,969.15,156.3,163.1,763.1
2016-07-01,328.1,225.0,252.35,457.9,124.75,310.1,973.45,156.75,165.15,763.35
2016-07-04,331.25,232.05,244.9,469.5,125.95,317.95,986.7,155.95,165.4,770.8
2016-07-05,333.65,230.75,243.55,460.9,123.65,321.95,993.1,152.6,161.25,774.5
2016-07-07,317.7,226.6,247.0,455.15,127.7,315.55,987.9,152.9,163.35,778.2
2016-07-08,318.35,223.3,245.85,466.3,126.85,311.7,978.4,153.8,164.45,777.5
2016-07-11,327.0,225.0,249.15,484.6,129.05,320.9,992.5,157.65,166.6,789.0
2016-07-12,342.3,227.9,248.4,484.3,135.25,317.05,1003.4,158.3,166.6,783.05
2016-07-13,357.75,234.15,247.1,481.1,135.8,324.05,1008.75,157.65,161.85,778.55
2016-07-14,359.3,230.55,248.7,486.1,135.8,324.65,1004.9,158.7,165.05,768.55
2016-07-15,372.9,230.25,248.85,494.0,137.4,318.85,1012.2,156.25,164.25,770.4
2016-07-18,365.65,218.6,248.9,492.65,137.25,321.65,1006.25,155.6,163.2,776.7
2016-07-19,370.25,221.0,249.05,499.25,138.0,318.95,1017.8,156.2,166.4,782.4
2016-07-20,368.45,223.9,250.25,493.9,135.9,329.25,1023.0,157.35,168.35,797.25
2016-07-21,362.3,222.6,250.6,491.05,133.9,333.35,1006.35,154.9,162.5,794.2
2016-07-22,365.45,222.45,249.85,507.2,136.0,331.45,1014.85,156.6,166.35,786.6
2016-07-25,363.65,226.8,251.75,509.0,135.2,333.75,1022.75,157.5,168.95,804.0
2016-07-26,367.8,224.35,251.75,503.25,131.65,327.45,1024.05,158.1,171.4,798.4
2016-07-27,363.05,223.25,247.4,510.1,133.8,325.55,1013.1,159.05,172.45,807.9
2016-07-28,349.85,221.35,254.3,506.85,134.25,329.95,1026.35,158.6,176.2,825.45
2016-07-29,355.05,220.1,252.45,503.2,133.55,328.0,1014.9,158.35,176.0,829.95
2016-08-01,364.85,218.8,250.6,508.25,136.6,326.45,1009.5,159.4,177.2,835.65
2016-08-02,361.85,221.1,260.8,493.3,135.5,323.05,1012.8,159.35,178.9,828.9
2016-08-03,358.05,218.75,252.7,478.4,135.7,326.15,993.95,157.5,175.9,839.6
2016-08-04,373.8,219.85,252.1,500.0,137.1,323.5,993.0,159.05,178.2,848.55
2016-08-05,381.7,225.95,252.55,516.4,143.7,329.4,1016.25,161.45,176.5,841.9
2016-08-08,379.55,226.1,249.95,514.8,149.15,331.95,1029.25,159.85,178.5,832.8
2016-08-09,375.35,229.0,247.65,513.8,146.6,337.15,1030.7,159.85,176.1,829.35
2016-08-10,370.3,229.05,246.5,503.45,145.8,337.95,1003.65,157.9,174.4,817.65
2016-08-11,368.35,231.4,251.65,503.25,142.25,337.8,1014.1,159.55,174.05,808.25
2016-08-12,374.75,233.6,254.1,516.8,146.35,337.95,1035.8,160.55,178.05,800.55
2016-08-16,379.15,235.2,255.1,507.6,154.65,337.8,1024.9,161.35,177.5,782.7
2016-08-17,391.85,237.8,253.7,510.4,155.95,347.8,1013.3,161.55,174.65,785.0
2016-08-18,387.2,241.35,252.15,512.05,154.35,339.05,1018.05,166.8,182.0,788.8
2016-08-19,392.15,241.6,250.95,510.0,158.95,334.15,1014.9,166.75,180.95,783.8
2016-08-22,388.15,239.35,254.1,503.95,156.05,334.9,1011.85,163.65,181.95,770.1
2016-08-23,385.15,238.4,251.4,504.0,155.55,336.65,1010.45,159.0,182.15,762.35
2016-08-24,379.95,241.0,250.25,498.35,157.0,333.95,1020.5,161.3,182.3,769.7
2016-08-25,372.3,237.8,253.45,493.85,154.25,331.3,1012.7,158.65,182.25,764.95
2016-08-26,369.45,238.4,253.8,503.75,155.5,333.3,1027.9,157.9,180.8,755.25
2016-08-29,373.75,237.3,252.8,525.3,158.3,333.85,1057.45,159.55,180.25,759.3
2016-08-30,377.75,241.7,257.3,529.0,162.75,334.65,1066.4,161.75,183.3,774.85
2016-08-31,370.1,236.3,260.05,537.7,159.25,333.5,1060.0,159.25,183.7,775.65
2016-09-01,374.6,236.6,261.0,543.65,157.5,338.0,1029.2,158.75,184.3,770.05
2016-09-02,374.2,238.75,262.9,549.85,157.25,332.3,1013.35,160.0,183.8,782.35
2016-09-06,385.75,238.55,262.6,588.7,158.5,328.85,1019.9,163.55,186.6,782.65
2016-09-07,389.95,244.95,262.8,587.4,159.7,331.0,1017.65,161.25,184.75,779.25
2016-09-08,403.0,246.3,264.9,584.2,161.95,332.55,1033.4,159.75,186.4,808.05
2016-09-09,394.6,254.95,258.3,573.25,154.85,332.2,1044.55,158.8,183.8,797.45
2016-09-12,373.3,251.0,252.25,553.45,140.85,330.45,1046.5,152.85,180.25,787.05
2016-09-14,373.9,248.2,251.85,560.5,143.25,324.35,1044.75,155.7,179.15,779.85
2016-09-15,366.4,248.5,255.9,557.55,145.55,323.75,1065.0,153.4,174.8,786.35
2016-09-16,358.85,250.3,260.35,548.7,142.65,324.55,1075.55,153.05,176.05,783.8
2016-09-19,361.65,254.15,258.85,554.45,143.95,328.3,1082.4,155.15,177.4,782.5
2016-09-20,365.6,257.75,256.95,548.45,145.6,329.25,1074.2,153.4,178.1,778.75
2016-09-21,369.8,255.35,253.65,549.9,149.55,331.0,1072.25,154.0,175.3,778.85
2016-09-22,377.25,259.5,255.25,558.45,154.6,327.45,1088.95,157.0,178.55,786.75
2016-09-23,372.0,260.55,253.45,553.05,154.45,328.4,1102.8,156.9,175.95,780.05
2016-09-26,369.75,249.55,248.05,535.3,153.6,332.45,1107.2,152.15,175.7,766.15
2016-09-27,367.95,247.55,245.85,531.95,150.05,332.75,1110.5,152.2,176.2,770.15
2016-09-28,380.35,251.65,246.95,540.0,156.9,328.45,1090.65,152.7,178.45,764.8
2016-09-29,368.8,250.15,245.7,526.3,150.0,327.65,1072.45,149.45,173.4,735.85
2016-09-30,374.25,256.65,241.35,534.85,152.7,322.3,1083.7,148.0,176.55,742.7
2016-10-03,382.85,260.25,242.3,540.8,154.1,327.9,1090.7,150.6,181.2,757.05
2016-10-04,391.15,273.55,241.2,549.95,154.25,321.1,1096.35,152.25,181.0,764.3
2016-10-05,390.7,266.65,240.2,559.65,157.25,321.25,1089.4,152.45,181.4,759.45
2016-10-06,389.85,269.15,237.4,551.45,158.35,318.55,1110.8,148.95,177.9,752.9
2016-10-07,406.55,267.35,238.95,565.7,158.0,318.8,1109.0,148.3,176.95,751.2
2016-10-10,418.4,266.95,240.1,562.05,160.75,318.9,1096.35,146.65,178.05,755.45
2016-10-13,413.8,272.75,238.95,544.85,155.15,315.5,1057.15,144.75,175.0,739.7
2016-10-14,412.3,277.05,239.9,556.1,154.6,313.05,1077.65,145.0,177.7,745.5
2016-10-17,410.8,278.45,240.6,547.55,150.65,311.25,1060.65,147.5,176.05,733.95
2016-10-18,424.95,276.5,245.95,554.25,152.35,312.55,1081.1,148.0,176.4,743.5
2016-10-19,426.0,278.55,239.45,550.5,151.0,312.55,1087.35,149.05,178.55,750.25
2016-10-20,428.55,281.35,239.35,546.85,155.25,312.6,1087.55,149.0,178.65,745.5
2016-10-21,427.2,279.8,240.15,544.5,151.85,313.3,1064.2,149.5,176.95,747.75
2016-10-24,426.05,292.35,241.35,559.8,150.85,321.25,1063.3,151.35,176.1,747.15
2016-10-25,415.25,288.75,238.75,553.8,150.5,319.65,1060.85,152.0,178.35,747.4
2016-10-26,398.6,290.1,238.75,530.05,150.2,319.3,1054.05,151.85,175.5,738.7
2016-10-27,397.15,290.8,243.1,522.0,148.3,316.3,1048.7,151.7,175.5,746.9
2016-10-28,405.45,286.9,243.1,537.0,149.65,324.8,1054.95,152.25,175.9,743.4
2016-10-30,404.7,289.2,241.65,531.95,149.75,325.4,1051.2,151.05,175.05,748.1
2016-11-01,417.7,289.15,239.95,530.6,156.95,330.05,1051.0,155.0,176.9,733.75
2016-11-02,413.35,277.25,237.3,513.3,156.5,327.95,1023.75,156.5,175.1,714.05
2016-11-03,403.3,267.55,240.3,510.2,162.8,327.0,1023.95,153.05,174.95,703.65
2016-11-04,403.1,269.5,249.05,512.3,158.85,315.9,1005.55,153.5,173.55,651.5
2016-11-07,412.6,267.2,256.5,506.35,167.6,319.3,1001.15,155.1,174.0,654.9
2016-11-08,408.65,270.6,255.6,540.2,167.4,317.05,1003.5,154.15,177.0,635.4
2016-11-09,399.35,269.9,248.15,533.5,162.1,317.05,1004.6,154.1,180.2,660.75
2016-11-10,437.0,276.0,251.05,533.7,175.75,333.2,1010.4,154.8,188.45,666.2
2016-11-11,426.5,273.45,242.95,507.3,172.3,324.05,1001.75,151.7,183.1,688.0
2016-11-15,393.05,275.6,237.5,457.4,167.75,313.65,985.4,150.15,184.95,682.45
2016-11-16,392.75,272.4,230.9,458.45,162.8,313.05,986.55,150.15,188.5,667.4
2016-11-17,392.75,273.25,231.5,472.85,168.3,306.85,977.75,151.8,192.9,669.25
2016-11-18,385.1,275.1,227.85,471.25,165.35,306.7,987.5,159.05,191.95,688.85
2016-11-21,371.45,276.05,224.2,456.95,157.35,300.75,991.5,154.9,185.05,690.35
2016-11-22,378.05,277.9,226.1,464.85,166.55,303.4,1001.45,154.1,183.75,689.9
2016-11-23,392.7,279.9,224.65,471.5,173.7,304.05,1009.0,159.85,181.65,701.3
2016-11-24,398.15,277.25,223.5,452.95,180.45,300.35,987.35,157.0,185.05,682.5
2016-11-25,408.75,277.45,228.8,452.35,180.5,304.25,993.7,161.5,188.65,714.15
2016-11-28,406.6,284.0,233.7,454.7,178.65,304.9,986.65,164.35,190.5,715.15
2016-11-29,408.95,284.8,231.05,459.85,175.4,308.4,997.7,163.0,189.45,706.5
2016-11-30,415.05,288.9,232.5,459.3,175.75,308.6,990.05,163.15,191.9,709.8
2016-12-01,409.6,292.15,233.5,448.2,171.35,306.3,997.75,161.9,184.3,721.5
2016-12-02,406.4,291.25,228.5,432.9,168.75,305.85,994.75,161.65,183.8,720.35
2016-12-05,413.5,295.4,232.55,439.3,174.5,305.35,993.85,162.45,185.1,713.1
2016-12-06,418.45,298.75,230.2,441.1,175.4,305.7,1005.2,163.1,182.9,706.15
2016-12-07,411.9,297.1,227.2,445.35,175.05,305.3,999.15,163.15,182.45,664.0
2016-12-08,431.3,303.3,233.3,461.55,179.2,312.1,1020.05,163.05,185.65,675.7
2016-12-09,430.55,306.8,236.15,464.1,182.1,306.45,1028.95,164.05,184.45,673.0
2016-12-12,424.2,311.45,232.3,454.4,181.95,305.3,1027.2,165.45,184.75,676.4
2016-12-13,421.1,312.0,235.65,470.65,176.95,305.95,1039.8,164.8,185.25,684.35
2016-12-14,417.75,305.3,233.15,472.35,176.0,292.0,1059.5,163.55,181.95,678.4
2016-12-15,419.3,206.45,229.7,463.2,176.1,290.15,1052.95,160.2,183.35,649.95
2016-12-16,414.05,201.7,226.35,473.15,170.2,288.25,1057.15,160.0,183.8,647.35
2016-12-19,410.35,201.4,227.0,471.8,169.15,287.35,1062.55,159.9,184.1,632.25
2016-12-20,403.5,199.85,229.95,473.15,167.15,290.6,1057.9,161.85,181.95,627.9
2016-12-21,404.5,201.5,226.3,468.5,168.8,292.2,1063.25,163.65,183.25,614.45
2016-12-22,392.2,194.9,227.55,469.6,161.25,287.65,1053.35,160.5,181.75,609.15
2016-12-23,390.85,192.95,224.7,465.65,159.3,287.85,1057.3,161.05,182.3,623.5
2016-12-26,380.1,189.0,225.0,457.85,151.5,285.0,1047.45,159.95,178.8,611.25
2016-12-27,392.4,190.3,234.05,466.95,155.55,288.95,1064.7,160.4,181.05,621.1
2016-12-28,388.45,189.9,235.45,463.35,153.6,295.2,1049.7,160.75,180.0,621.35
2016-12-29,392.35,191.6,236.0,470.9,154.75,298.65,1065.45,163.55,180.05,614.7
2016-12-30,391.25,191.35,241.65,472.0,155.05,300.0,1082.4,164.75,183.5,630.0
